"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"3308588",0,1,0.9,0.81,0.729,5.52724301246535,4.97451871121882,7.44617892046433,37.5665497379444,38.1370359853433,38.6430994514215,34.7787895062794,35.5140234711797,40.4999690692482,36.4499721623233
"669868",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5027467",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4583125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5309582",0,0,0,0,0,1,0.9,0.81,2.90612565212996,2.61551308691697,11.4025216833943,10.2622695150549,9.23604256354939,8.31243830719445,7.48119447647501
"5292970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4185116",0,0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,7.83194879843485,7.04875391859137,6.34387852673223
"5271421",0,0,0,0,0,0,0,0,6.29583686600433,5.6662531794039,5.09962786146351,4.58966507531716,4.13069856778544,3.7176287110069,3.34586583990621
"5250978",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"5116429",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"5048765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4745892",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"3175960",0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,10.430520878477,28.3302886579442,25.4972597921498,22.9475338129348,35.6973408650195,29.5205393135443,26.5684853821899,23.9116368439709
"2583270",0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,2.4089046394711,4.75986117025544,4.28387505322989,3.85548754790691,3.46993879311621
"2313553",0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,0.387420489,0.3486784401,0.31381059609,0.282429536481
"1199907",0,0,3.38629436111989,7.74830613394739,6.97347552055265,6.27612796849738,12.2788086658396,11.0509277992557,9.9458350193301,8.95125151739709,8.05612636565739,7.25051372909165,6.52546235618248,5.87291612056423,5.28562450850781
"100180",0,0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049
"3247147",0,0,0,0,0,0,0,0,1,3.21434684781959,2.89291216303763,2.60362094673387,2.34325885206048,2.10893296685444,1.89803967016899
"2965579",0,0,0,0,0,0,0,1,12.7820769691633,11.503869272247,10.3534823450223,9.31813411052004,8.38632069946804,7.54768862952123,6.79291976656911
"5341643",0,0,0,0,0,0,0,0,6.29583686600433,5.6662531794039,8.16973380193706,7.35276042174335,6.61748437956902,5.95573594161212,5.3601623474509
"1415661",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"915432",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2476503",0,0,1,0.9,0.81,0.729,0.6561,0.59049,2.52011251116125,2.26810126004513,2.04129113404062,1.83716202063655,1.6534458185729,0.90430059609,0.813870536481
"2687875",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"881025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4440830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5261718",0,0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,4.80330104809825,4.32297094328843,3.89067384895959
"2834606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
