"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"5184489",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5328514",0,0,0,0,0,0,0,24.6355323334387,22.1719791000948,19.9547811900853,17.9593030710768,16.1633727639691,14.5470354875722,13.092331938815,11.7830987449335
"4626314",0,0,0,0,0,0,0,9.54517744447956,15.6267908037184,14.0641117233465,12.6577005510119,11.3919304959107,10.2527374463196,9.22746370168765,8.30471733151889
"2071504",0,0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049
"3308588",0,0,0,0,0,0,0,1,73.2306379433122,65.907574148981,64.077229365115,57.6695064286035,56.5204806788798,50.8684326109918,45.7815893498926
"669868",0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,0.387420489
"5027467",0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969
"4583125",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"5309582",0,0,0,0,1,0.9,0.81,2.90612565212996,5.32628812702733,4.7936593143246,12.652706366527,9.46925361733802,8.52232825560422,7.67009543004379,6.90308588703942
"5292970",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"4185116",0,0,0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561
"5271421",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5250978",3.38629436111989,5.87258329629133,5.2853249666622,4.75679246999598,4.28111322299638,3.85300190069674,3.46770171062707,3.12093153956436,5.40558565863733,4.86502709277359,4.37852438349623,3.94067194514661,3.54660475063195,3.19194427556876,2.87274984801188
"5116429",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"5048765",0,0,0,0,0,0,0,0,1,0.9,3.05460562531838,2.74914506278654,2.47423055650789,2.2268075008571,2.00412675077139
"4745892",0,1,0.9,5.88393243356697,5.29553919021027,4.76598527118924,4.28938674407032,3.86044806966329,6.2350925223637,5.61158327012733,5.0504249431146,4.54538244880314,4.09084420392283,3.68175978353054,3.31358380517749
"3175960",0,0,3.38629436111989,3.0476649250079,8.61840404426376,7.75656363983738,6.98090727585365,6.28281654826828,15.6396852883577,17.7490215812191,15.9741194230972,14.3767074807874,12.9390367327087,15.1084767648937,13.5976290884044
"2583270",0,0,3.38629436111989,3.0476649250079,5.48488478329663,4.93639630496697,4.44275667447027,3.99848100702325,12.9893448134429,11.6904103320987,10.5213692988888,9.46923236899991,8.52230913209992,7.67007821888993,6.90307039700093
"2313553",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1199907",0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,8.20915425463621,7.38823882917259,6.64941494625533,9.08541842561926,8.17687658305733,7.3591889247516,6.62327003227644,5.9609430290488,5.36484872614392
"100180",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"3247147",0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,0.387420489,0.3486784401,0.31381059609
"2965579",0,0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792
"5341643",0,0,0,0,1,0.9,0.81,0.729,2.7680533534921,2.49124801814289,2.2421232163286,2.01791089469574,1.81611980522617,0.977910489,0.8801194401
"1415661",0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969
"915432",0,0,0,0,0,0,0,0,6.29583686600433,5.6662531794039,5.09962786146351,4.58966507531716,4.13069856778544,3.7176287110069,3.34586583990621
"2476503",0,0,0,0,6.29583686600433,5.6662531794039,5.09962786146351,4.58966507531716,4.13069856778544,3.7176287110069,3.34586583990621,3.01127925591559,2.71015133032403,2.43913619729163,2.19522257756246
"2687875",0,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.81
"881025",0,0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049
"4440830",0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,4.50379549895557,4.05341594906001,3.64807435415401,3.28326691873861,2.95494022686475
"5261718",0,6.29583686600433,5.6662531794039,5.09962786146351,4.58966507531716,4.13069856778544,3.7176287110069,3.34586583990621,3.01127925591559,2.71015133032403,2.43913619729163,2.19522257756246,0.941431788270001,0.847288609443001,0.762559748498701
"2834606",0,0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049
"3923321",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"5317684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5186623",0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,0.387420489,0.3486784401,0.31381059609,0.282429536481
"1094258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5326237",0,0,1,0.9,0.81,0.729,0.6561,0.59049,11.714586952205,10.5431282569845,9.48881543128608,8.53993388815747,7.68594049934172,6.91734644940755,6.2256118044668
"4683488",0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792,0.9565938,0.86093442,0.774840978,0.6973568802,0.62762119218,0.564859072962
"2392693",0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792,3.97538005785248,3.57784205206724,3.22005784686051,2.89805206217446,2.60824685595702
"4150558",0,0,0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769
"5173013",0,0,0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769
"5311690",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"5292017",0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969
"3822119",0,0,0,0,4.90954250488444,3.0476649250079,2.74289843250711,2.4686085892564,7.83194879843485,7.04875391859137,6.34387852673223,5.70949067405901,5.13854160665311,4.62468744598779,4.16221870138902
"5180552",3.38629436111989,3.0476649250079,15.6633520218808,29.8587914620795,35.2969070636753,31.7672163573078,28.590494721577,25.7314452494193,27.1261168322008,32.5405327916959,29.2864795125263,30.3989678523216,27.3590710670894,24.6231639603805,26.0287710242184
"2068024",6.29583686600433,5.6662531794039,5.09962786146351,4.58966507531716,4.13069856778544,3.7176287110069,3.34586583990621,3.01127925591559,2.71015133032403,2.43913619729163,4.61290825543303,4.15161742988973,3.73645568690076,3.36281011821068,3.02652910638961
"1083054",6.29583686600433,5.6662531794039,15.129281603423,13.6163534430807,12.2547180987726,14.5219478658663,13.0697530792797,11.7627777713517,10.5864999942165,9.52784999479489,8.5750649953154,7.71755849578386,6.94580264620548,6.25122238158493,5.62610014342644
"4172182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4457090",0,0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049
"1884014",1,3.21434684781959,5.67723930001398,15.146396351179,13.6317567160611,19.6319216302406,17.6687294672165,19.6390173989944,21.4772874412736,19.3295586971462,17.3966028274316,15.6569425446884,14.0912482902196,12.6821234611976,11.4139111150779
"2053877",0,0,13.0471895621705,15.3502368277716,13.8152131449944,12.433691830495,11.1903226474455,10.0712903827009,12.3823197429038,11.1440877686134,10.0296789917521,9.02671109257686,8.12403998331918,7.31163598498726,6.58047238648853
"2061020",1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,4.95175902970767,4.45658312673691,4.01092481406322,3.6098323326569,3.24884909939121,2.92396418945209,2.63156777050688
"5298406",0,1,0.9,3.05460562531838,8.63187333018577,7.76868599716719,6.99181739745047,6.29263565770543,5.66337209193488,5.0970348827414,4.58733139446726,4.12859825502053,3.71573842951848,3.34416458656663,3.00974812790997
"5330902",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"4326054",0,0,0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561
"1007277",0,0,0,0,1,0.9,0.81,0.729,0.6561,2.6396160454264,2.37565444088376,2.13808899679538,4.41521536411777,3.97369382770599,3.5763244449354
"3724862",0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.81,0.729
"5201232",0,0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792
"3813319",0,0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792
"5004318",0,0,0,0,0,0,0,0,6.29583686600433,5.6662531794039,8.16973380193706,7.35276042174335,9.80090505516601,8.82081454964941,7.93873309468447
